t,z
4224.0,0.8283549458528695
4225.0,0.8286624880301272
4226.0,0.8289700302073847
4227.0,0.8292775723846422
4228.0,0.8295851145618999
4229.0,0.8298926567391574
4230.0,0.8316015913313191
4231.0,0.8340619287493798
4232.0,0.8365222661674402
4233.0,0.8389826035855006
4234.0,0.8414429410035613
4235.0,0.8439032784216216
4236.0,0.8463636158396822
4237.0,0.8488239532577427
4238.0,0.8512842906758034
4239.0,0.8537446280938636
4240.0,0.8562049655119243
4241.0,0.8586653029299848
4242.0,0.8611256403480452
4243.0,0.8635859777661057
4244.0,0.8660463151841663
4245.0,0.8685066526022268
4246.0,0.8709669900202872
4247.0,0.8734273274383477
4248.0,0.8758876648564083
4249.0,0.8783480022744687
4250.0,0.8808083396925295
4251.0,0.8832686771105898
4252.0,0.8857290145286504
4253.0,0.8881893519467109
4254.0,0.8906496893647713
4255.0,0.8931100267828318
4256.0,0.8955703642008924
4257.0,0.8980307016189529
4258.0,0.9004910390370133
4259.0,0.9029513764550738
4260.0,0.9054117138731345
4261.0,0.9078720512911949
4262.0,0.9093352225814891
4263.0,0.904414547745368
4264.0,0.8994938729092471
4265.0,0.8945731980731262
4266.0,0.889652523237005
4267.0,0.8847318484008841
4268.0,0.8798111735647632
4269.0,0.8748904987286421
4270.0,0.8699698238925212
4271.0,0.8650491490564001
4272.0,0.8601284742202792
4273.0,0.8552077993841583
4274.0,0.8502871245480371
4275.0,0.845366449711916
4276.0,0.8404457748757952
4277.0,0.8355251000396742
4278.0,0.830604425203553
4279.0,0.8256837503674321
4280.0,0.8207630755313111
4281.0,0.8158424006951901
4282.0,0.8109217258590691
4283.0,0.8060010510229481
4284.0,0.801080376186827
4285.0,0.7961597013507061
4286.0,0.791239026514585
4287.0,0.7863183516784642
4288.0,0.7813976768423432
4289.0,0.776477002006222
4290.0,0.771556327170101
4291.0,0.76663565233398
4292.0,0.7617149774978591
4293.0,0.7567943026617381
4294.0,0.7518736278256171
4295.0,0.749238238247374
4296.0,0.7480080695383438
4297.0,0.7467779008293135
4298.0,0.7455477321202832
4299.0,0.7443175634112531
4300.0,0.7430873947022227
4301.0,0.7418572259931925
4302.0,0.7406270572841623
4303.0,0.7393968885751321
4304.0,0.7381667198661017
4305.0,0.7369365511570716
4306.0,0.7357063824480413
4307.0,0.7344762137390111
4308.0,0.7332460450299807
4309.0,0.7320158763209506
4310.0,0.7307857076119203
4311.0,0.72955553890289
4312.0,0.7283253701938598
4313.0,0.7270952014848295
4314.0,0.7258650327757993
4315.0,0.724634864066769
4316.0,0.7234046953577388
4317.0,0.7221745266487085
4318.0,0.7209443579396784
4319.0,0.719714189230648
4320.0,0.7184840205216177
4321.0,0.7172538518125876
4322.0,0.7160236831035574
4323.0,0.714793514394527
4324.0,0.7135633456854966
4325.0,0.7123331769764666
4326.0,0.7111030082674363
4327.0,0.7106040120975715
4328.0,0.7164473134654651
4329.0,0.7222906148333588
4330.0,0.7281339162012525
4331.0,0.7339772175691462
4332.0,0.7398205189370398
4333.0,0.7456638203049335
4334.0,0.7515071216728272
4335.0,0.757350423040721
4336.0,0.7631937244086145
4337.0,0.7690370257765083
4338.0,0.774880327144402
4339.0,0.7807236285122957
4340.0,0.7865669298801893
