"PK_ApplianceID","CK_SiteID","CK_RoomID","Row Type","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Washer-Dryer Matched Pair","Washer Depth","Washer Depth_notes","Washer Diameter","Washer Diameter_notes","Washer Size","Washer Size_notes","Washer Primary","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00020850","SITE_00331","Room_00000896","Washer","Vertical Axis (with agitator)","No",2010,,"C03124616","Maytag","Mvwc300vw1","Unknown","Yes",18.0000,,19.0000,,3.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020851","SITE_00332","Room_00000911","Washer","Vertical Axis (without agitator)","No",2013,,"C33770442","Maytag","MVWB880BW0","No","Yes",23.0000,,22.0000,,5.1000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020852","SITE_00333","Room_00000936","Washer","Horizontal Axis","No",1986,,"C61450376","Whirlpool","Wfw87hedw0","Yes","Yes",22.0000,,18.0000,,3.2000,,"Yes","Unknown","N/A","Laundry_1","Laundry"
"Appliance_00020853","SITE_00334","Room_00000952","Washer","Vertical Axis (with agitator)","No",2000,,"CK3590946","Kenmore","110.20722990","No","Yes",20.0000,,18.0000,,2.9000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020854","SITE_00335","Room_00000969","Washer","Vertical Axis (with agitator)","No",,"Unknown","Unknown","Maytag","Unknown","No","Yes",18.0000,,18.0000,,2.7000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020855","SITE_00336","Room_00000987","Washer","Vertical Axis (with agitator)","No",,"Unknown","AO250354","Maytag","LAT9704AAM","Unknown","Yes",,"Unknown",,"Unknown",,"Unknown","Yes","No","Full of clothes","Laundry_1","Laundry"
"Appliance_00020856","SITE_00337","Room_00001002","Washer","Vertical Axis (with agitator)","No",,"Unknown","Unknown","Fisher & Paykel","Unknown","Yes","Yes",20.0000,,19.0000,,3.3000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020857","SITE_00338","Room_00001012","Washer","Horizontal Axis","No",2012,,"C22550254","Whirlpool","WFW95HEXW2","Yes","No",18.0000,,22.0000,,4.0000,,"Yes","Unknown","N/A","Bedroom_4","Bedroom"
"Appliance_00020858","SITE_00339","Room_00001030","Washer","Vertical Axis (with agitator)","No",,"Unknown","CL2703220","Kenmore","22982100","Unknown","No",22.0000,,17.0000,,2.9000,,"Yes","No","N/A","Family Room_2","Family Room"
"Appliance_00020859","SITE_00340","Room_00001047","Washer","Vertical Axis (with agitator)","No",2006,,"18604239JT","Maytag","LAV3600AWW","Unknown","No",16.0000,,19.0000,,2.6000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020860","SITE_00341","Room_00001064","Washer","Horizontal Axis","No",2010,,"004KWMK00875","LG","Wm2101hw","Yes","No",20.0000,,21.0000,,4.0000,,"Yes","No","N/A","Laundry_2","Laundry"
"Appliance_00020861","SITE_00342","Room_00001083","Washer","Vertical Axis (with agitator)","No",2001,,"CL 2217193","Kenmore","110.22422100","Unknown","No",16.0000,,14.0000,,1.4000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020862","SITE_00343","Room_00001094","Washer","Vertical Axis (with agitator)","No",,"Unknown","CD2613513","Sears","91511100","Unknown","Yes",23.0000,,18.0000,,3.4000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020863","SITE_00344","Room_00001119","Washer","Vertical Axis (with agitator)","No",,"Unknown","CB391085","Sears","92292100","Unknown","No",22.0000,,18.0000,,3.2000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020864","SITE_00345","Room_00001135","Washer","Vertical Axis (with agitator)","No",2005,,"CS4016085","Whirlpool","Lsq9200pt0","Unknown","Yes",23.0000,,20.0000,,4.2000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020865","SITE_00346","Room_00001145","Washer","Vertical Axis (with agitator)","No",2010,,"XC03026275","Frigidaire","Ftw3011kw0","No","No",18.0000,,18.0000,,2.7000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020866","SITE_00347","Room_00001157","Washer","Vertical Axis (with agitator)","No",2013,,"C33921208","Roper","Rtw4640yq1","Unknown","Yes",18.0000,,19.0000,,3.0000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020867","SITE_00348","Room_00001164","Washer","Vertical Axis (with agitator)","No",2017,,"XE73701079","Frigidaire","Fex831fsc","No","Yes",18.0000,,18.0000,,2.7000,,"Yes","No","N/A","Kitchen_1","Kitchen"
"Appliance_00020868","SITE_00349","Room_00001191","Washer","Vertical Axis (with agitator)","No",2000,,"31283291YZ","Maytag","LAT2500AAE","Unknown","No",15.0000,,16.0000,,1.7000,,"Yes","Unknown","N/A","Laundry_1","Laundry"
"Appliance_00020869","SITE_00350","Room_00001207","Washer","Horizontal Axis","No",,"Unknown","OBE65AEGC","Samsung","Wf42h5000aw/a2","Unknown","Yes",19.0000,,18.0000,,2.8000,,"Yes","No","N/A","Laundry_1","Laundry"
"Appliance_00020870","SITE_00351","Room_00001228","Washer","Vertical Axis (with agitator)","No",,"Unknown","A0107975","Maytag","Lat9804aae","Unknown","Yes",16.0000,,22.0000,,3.5000,,"Yes","No","N/A","Laundry_1","Laundry"
