"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Grade","Ventilation Working","Ventilation Controls","Ventilation Use","Ventilation Use_notes","Ventilation Use Units","Notes"
"Mechanical_00001801","SITE_00524","Bathroom Vent","Builder Grade","Yes","Timer",0.7500,,"Hours per day","Master"
"Mechanical_00001808","SITE_00530","Bathroom Vent","Builder Grade","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001812","SITE_00531","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001820","SITE_00536","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001822","SITE_00536","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001823","SITE_00536","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001830","SITE_00537","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1600,,"Hours per day","Bath2"
"Mechanical_00001832","SITE_00538","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001836","SITE_00540","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.3300,,"Hours per day","Bath1"
"Mechanical_00001844","SITE_00544","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",2.0000,,"Hours per day",
"Mechanical_00001854","SITE_00555","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001856","SITE_00555","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001864","SITE_00558","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001866","SITE_00559","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",1.0000,,"Hours per day",
"Mechanical_00001868","SITE_00563","Bathroom Vent","Builder Grade","Yes","Timer",0.5000,,"Hours per day","Master/bath1"
"Mechanical_00001872","SITE_00566","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001874","SITE_00566","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.0000,,"Hours per day",
"Mechanical_00001876","SITE_00569","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001878","SITE_00569","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.2500,,"Hours per day",
"Mechanical_00001884","SITE_00574","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.5000,,"Hours per day",
"Mechanical_00001887","SITE_00578","Bathroom Vent","Builder Grade","Yes","Manual Switch",0.1600,,"Hours per day",
"Mechanical_00001889","SITE_00580","Bathroom Vent","Panasonic or equivalent","Yes","Manual Switch",0.1000,,"Hours per day",
"Mechanical_00001891","SITE_00598","Bathroom Vent","Builder Grade","Yes","Timer",0.0000,,"Hours per day",
