"PK_Mechanical_ID","CK_SiteID","System Type","Ventilation Type","Ventilation Controls"
"Mechanical_00007670","SITE_01210","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007671","SITE_01184","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007672","SITE_01186","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007673","SITE_01189","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007674","SITE_01185","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007675","SITE_01158","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007676","SITE_00814","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007677","SITE_00798","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007678","SITE_01179","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00007679","SITE_01104","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007680","SITE_01171","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007681","SITE_01153","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007682","SITE_01147","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007683","SITE_00812","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007684","SITE_01119","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007685","SITE_01120","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007686","SITE_01128","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007687","SITE_00078","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007688","SITE_01749","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007689","SITE_01598","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007690","SITE_01672","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007691","SITE_01730","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007692","SITE_01559","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007693","SITE_01612","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007694","SITE_01088","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007695","SITE_01812","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007696","SITE_01559","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007697","SITE_01625","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008335","SITE_01354","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008336","SITE_01517","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008337","SITE_01520","Kitchen Vent","Unknown","Manual Switch"
"Mechanical_00008338","SITE_01525","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00008339","SITE_01530","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00008340","SITE_01536","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008341","SITE_00294","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008342","SITE_00353","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008343","SITE_01500","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00008344","SITE_01597","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008345","SITE_00057","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008346","SITE_02022","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008347","SITE_00137","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008348","SITE_00533","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008349","SITE_01824","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008350","SITE_01841","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008351","SITE_01844","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008352","SITE_01849","Kitchen Vent","Recirculating Only","Variable Speed"
"Mechanical_00008353","SITE_01858","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00008354","SITE_01297","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008355","SITE_00604","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00008356","SITE_00717","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008357","SITE_00202","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008358","SITE_01305","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00008359","SITE_01117","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007206","SITE_00262","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007207","SITE_00263","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007208","SITE_00264","Kitchen Vent","Small Capacity Exhaust","Unknown"
"Mechanical_00007209","SITE_00265","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007210","SITE_00266","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007211","SITE_00267","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007212","SITE_00267","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007213","SITE_00268","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007214","SITE_00269","Kitchen Vent","Small Capacity Exhaust","Unknown"
"Mechanical_00007215","SITE_00270","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007216","SITE_00272","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007217","SITE_00273","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007218","SITE_00273","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007219","SITE_00274","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007220","SITE_00275","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007221","SITE_00276","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007222","SITE_00277","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007223","SITE_00278","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007224","SITE_00279","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007225","SITE_00280","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007226","SITE_00282","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007227","SITE_00284","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007228","SITE_00285","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007229","SITE_00287","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007230","SITE_00288","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007231","SITE_00289","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007232","SITE_00290","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007233","SITE_00291","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007234","SITE_00292","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007900","SITE_01836","Kitchen Vent","High Capacity Exhaust","Manual Switch"
"Mechanical_00007901","SITE_01837","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007902","SITE_01840","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007903","SITE_01842","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007904","SITE_01845","Kitchen Vent","Recirculating Only","Manual Switch"
"Mechanical_00007905","SITE_01848","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007906","SITE_01851","Kitchen Vent","Small Capacity Exhaust","Variable Speed"
"Mechanical_00007907","SITE_01853","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
"Mechanical_00007908","SITE_01854","Kitchen Vent","High Capacity Exhaust","Variable Speed"
"Mechanical_00007909","SITE_01855","Kitchen Vent","Small Capacity Exhaust","Manual Switch"
