"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","TV Screen Type","TV Screen Surface","TV Resolution","Primary","Size (Diagonal Inches)","Size (Diagonal Inches)_notes","Wattage","Wattage_notes","Set Top Box Present","Set Top Box Provider","Set Top Box Year","Set Top Box Year_notes","Set Top Box Size","Set Top Box Records","STB Wifi","TV Wifi","TV Qty of Streaming Devices","TV Qty of Streaming Devices_notes","TV Qty of External Media Devices","TV Qty of External Media Devices_notes","TV Auxiliary Devices Plugged into Single Strip","Notes","Room Name","Room Type"
"Appliance_00018920","SITE_01168","Room_00016772","Television","No",,"Unknown","Unknown","Toshiba","Unknown","Unknown","Tube (CRT and internal or rear projector)","Flat","Standard Definition","All used about the same",32.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",0,,2,,"Unknown","No access to nameplate or plug","Living Room_1","Living Room"
"Appliance_00018921","SITE_01168","Room_00016775","Television","No",,"Unknown","Unknown","Sanyo","Unknown","Unknown","Tube (CRT and internal or rear projector)","Flat","Standard Definition","All used about the same",32.0000,,68.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","No",0,,0,,"No","Cannot access nameplate","Bedroom_1","Bedroom"
"Appliance_00018891","SITE_01169","Room_00016782","Television","Yes",2010,,"N/A","Sony","Kdl-40ex400","Yes","LCD","Flat","FHD (1080P)","Secondary",40.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,0,,"Unknown","Not able to access rear cables","Bedroom_6","Bedroom"
"Appliance_00004272","SITE_01169","Room_00016881","Television","No",,"Unknown","04MM3CEG608189J","Samsung","Un40j5200af","Yes","LED","Flat","FHD (1080P)","Primary",40.0000,,29.0000,,"No","N/A",,"N/A","N/A","N/A","N/A","Yes",1,,0,,"Yes","N/A","Family Room_1","Family Room"
"Appliance_00018756","SITE_01170","Room_00016784","Television","Yes",2009,,"N/A","Samsung","Ln32b460b2d","Yes","LCD","Flat","High Definition (720P)","Secondary",32.0000,,,"Could not meter","Yes","Comcast",2000,,"Full","Yes","Unknown","No",0,,1,,"Unknown","N/A","Bedroom_6","Bedroom"
"Appliance_00018768","SITE_01170","Room_00016789","Television","Yes",2009,,"N/A","Samsung","Ln40b550k1f","Yes","LCD","Flat","FHD (1080P)","Secondary",40.0000,,,"Could not meter","No","N/A",,"N/A","N/A","N/A","N/A","No",1,,1,,"No","Unable to measure wattage  - too many wires","Living Room_1","Living Room"
"Appliance_00018686","SITE_01171","Room_00016794","Television","Yes",2010,,"N/A","Panasonic","Tc-p42c2","Yes","Plasma","Flat","High Definition (720P)","Primary",42.0000,,80.0000,,"Yes","Comcast",2014,,"Small","No","No","No",0,,1,,"No","N/A","Living Room_1","Living Room"
"Appliance_00018687","SITE_01171","Room_00016795","Television","Yes",2015,,"N/A","TCL","32d3800","Unknown","LCD","Flat","Unknown","Secondary",32.0000,,,"Could not meter","Yes","Comcast",2012,,"Small","No","No","No",1,,1,,"No","Couldnt trace out which cord went where","Bedroom_1","Bedroom"
"Appliance_00019575","SITE_01172","Room_00016799","Television","Yes",2001,,"N/A","JVC","AV-32D502","No","Tube (CRT and internal or rear projector)","Flat","Standard Definition","Secondary",32.0000,,55.0000,,"Yes","Comcast",2016,,"Small","No","No","No",0,,1,,"No","N/A","Living Room_1","Living Room"
"Appliance_00019576","SITE_01172","Room_00016803","Television","Yes",2013,,"N/A","Emerson","LF320EM4MA","No","LCD","Flat","High Definition (720P)","Primary",32.0000,,22.0000,,"Yes","Comcast",2016,,"Small","No","No","No",0,,0,,"No","N/A","Bedroom_1","Bedroom"
