"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Large Unusual Load Type","Large Unusual Load Quantity","Large Unusual Load Quantity_notes","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Wifi Enabled","Well Pump Controlled by VSD","VSD Motor Input","VSD Motor Input_notes","VSD Motor Input Units","Notes","Room Name","Room Type"
"Appliance_00007598","SITE_00996","Room_00003320","Large Unusual Load","Water Pressure Device",1,,"No",,"Unknown","1J03L","Flotec","Fp7130-08","No","No","N/A",,"N/A","N/A","This equipment is used to pressurize the water system in the home. Installed in 2014","Outside_2","Outside"
"Appliance_00007599","SITE_01000","Room_00003374","Large Unusual Load","Welder (Electric)",2,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00007600","SITE_01000","Room_00003374","Large Unusual Load","Woodshop Stationary Tools",4,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","Drill press, table saw, radial arm saw, router,  battery charger, grinder, etc.Hand power tools also that are being used heavily this week as they build a gazebo.  Normally tools used about once a week.","Garage_2","Garage"
"Appliance_00007601","SITE_01000","Room_00003374","Large Unusual Load","Electric Furnace",2,,"No",,"Unknown","Unknown","Mound master","Unknown","No","No","N/A",,"N/A","N/A","1000 watts","Garage_2","Garage"
"Appliance_00007602","SITE_01000","Room_00003374","Large Unusual Load","Air Compressor",1,,"No",,"Unknown","Unknown","Unknown","Unknown","No","No","N/A",,"N/A","N/A","N/A","Garage_2","Garage"
"Appliance_00022610","SITE_01000","Room_00003374","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",,"Unknown","Unknown","Well is 450 feet deep","Garage_2","Garage"
"Appliance_00022611","SITE_01001","Room_00003390","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","No",0.75000,,"HP","Owner says 3/4 hp pump","Outside_2","Outside"
"Appliance_00007603","SITE_01001","Room_00003390","Large Unusual Load","Water Pressure Device",1,,"No",,"Unknown","Unknown","Amtrol","Unknown","Unknown","No","N/A",,"N/A","N/A","N/A","Outside_2","Outside"
"Appliance_00007604","SITE_01004","Room_00003411","Large Unusual Load","Limited Vision Reader",1,,"No",,"Unknown","A09-1610419","Merlin","MR","No","No","N/A",,"N/A","N/A","N/A","Living Room_1","Living Room"
"Appliance_00007649","SITE_01005","Room_00015239","Large Unusual Load","Water Feature",1,,"No",,"Unknown","Unknown","Aqueon","Unknown","No","No","N/A",,"N/A","N/A","15 gallon fish tank and filter","Family Room_1","Family Room"
"Appliance_00022612","SITE_01006","Room_00003423","Well Pump","N/A",,"N/A","No",,"Unknown","Unknown","Unknown","Unknown","Unknown","N/A","Unknown",,"Unknown","Unknown","Buried well pump","Outside_2","Outside"
"Appliance_00007672","SITE_01008","Room_00015271","Large Unusual Load","Trash Compactor",1,,"No",,"Unknown","Unknown","KitchenAid","Superba","No","No","N/A",,"N/A","N/A","N/A","Kitchen_1","Kitchen"
