"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Game System Release","Used for DVD or Bluray","Used to access Internet","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00006840","SITE_00939","Room_00002687","Game Console","No",,"Unknown","FU6557406","Sony","Scph-77001","Unknown","Slim","Yes","No","No","N/A","Living Room_1","Living Room"
"Appliance_00006969","SITE_00953","Room_00015102","Game Console","No",,"Unknown","005834161548","Microsoft","Xbox one","No","Original","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00007401","SITE_00956","Room_00015137","Game Console","No",,"Unknown","Unknown","Nintendo","Unknown","Unknown","Original","No","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00006841","SITE_00959","Room_00002805","Game Console","No",,"Unknown","Unknown","Nintendo","Wii","Unknown","Original","No","No","Unknown","N/A","Family Room_2","Family Room"
"Appliance_00006842","SITE_00959","Room_00002805","Game Console","No",,"Unknown","Unknown","Microsoft","Xbox 360","Unknown","Original","Unknown","Unknown","Unknown","N/A","Family Room_2","Family Room"
"Appliance_00006989","SITE_00961","Room_00015144","Game Console","No",,"Unknown","Unknown","Microsoft","Xbox 360","No","Original","Yes","Yes","No","N/A","Living Room_1","Living Room"
"Appliance_00006990","SITE_00961","Room_00015144","Game Console","No",,"Unknown","Unknown","Sony","PS4","No","Original","Yes","Yes","Yes","N/A","Living Room_1","Living Room"
"Appliance_00006843","SITE_00963","Room_00002846","Game Console","Yes",2006,,"Unknown","Microsoft","1438","No","Slim","Yes","Yes","Yes","N/A","Family Room_1","Family Room"
"Appliance_00006844","SITE_00963","Room_00002846","Game Console","Yes",2006,,"Unknown","Nintendo","RVL-001","No","Original","Yes","Yes","Yes","N/A","Family Room_1","Family Room"
"Appliance_00006845","SITE_00969","Room_00002914","Game Console","Yes",2012,,"Unknown","Microsoft","Unknown","Unknown","Slim","Yes","Yes","No","N/A","Basement_1","Basement"
"Appliance_00006941","SITE_00972","Room_00015175","Game Console","No",,"Unknown","LU73281426","Nintendo","Rvl-001(usa)","No","Original","No","No","No","N/A","Bedroom_1","Bedroom"
"Appliance_00006942","SITE_00972","Room_00015177","Game Console","No",,"Unknown","MB882288251","Sony","Cuh1215a","No","Original","No","No","No","N/A","Living Room_1","Living Room"
