"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Number of Pieces of Audio Equipment","Number of Pieces of Audio Equipment_notes","Contains Suboofer","Does Subwoofer have indicator light or warm to touch","Audio Wifi Enabled","Audio Connected to TV","Notes","Room Name","Room Type"
"Appliance_00000955","SITE_00604","Room_00011793","Audio Equipment","No",,"Unknown","Unknown","Yamaha","Unknown","Unknown",8.0000,,"No","N/A","No","No","Whole house sound system- 6 speakers, 2 main pieces","Family Room_1","Family Room"
"Appliance_00000956","SITE_00604","Room_00011795","Audio Equipment","No",,"Unknown","Unknown","Sony","Unknown","Unknown",5.0000,,"Yes","No","No","Yes","N/A","Other_1","Other"
"Appliance_00001264","SITE_00605","Room_00011809","Audio Equipment","No",,"Unknown","LV1SE005542","Panasonic","SC-HC25","Unknown",1.0000,,"No","N/A","No","No","N/A","Kitchen_1","Kitchen"
"Appliance_00001265","SITE_00605","Room_00011809","Audio Equipment","No",,"Unknown","Unknown","Yamaha","ATS-1060","Unknown",1.0000,,"No","N/A","No","Yes","N/A","Kitchen_1","Kitchen"
"Appliance_00001266","SITE_00605","Room_00011809","Audio Equipment","No",,"Unknown","1406000374","TV Ears","Unknown","Unknown",1.0000,,"No","N/A","No","Yes","N/A","Kitchen_1","Kitchen"
"Appliance_00001249","SITE_00605","Room_00011801","Audio Equipment","No",,"Unknown","Unknown","Sony","CFD-454","No",3.0000,,"No","N/A","No","No","N/A","Garage_2","Garage"
"Appliance_00001247","SITE_00606","Room_00011814","Audio Equipment","No",,"Unknown","Unknown","Denon","DRA-325R","No",4.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00001262","SITE_00607","Room_00011828","Audio Equipment","No",,"Unknown","Unknown","Pioneer","VSX-516","Yes",3.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00001246","SITE_00608","Room_00011834","Audio Equipment","No",,"Unknown","SAUOSWAR3704832","Audio Vizio","10615040222","Unknown",2.0000,,"Yes","Yes","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000971","SITE_00612","Room_00011895","Audio Equipment","No",,"Unknown","Unknown","Boston","BA7900","No",5.0000,,"Yes","Yes","No","No","N/A","Office_1","Office"
"Appliance_00000972","SITE_00612","Room_00011896","Audio Equipment","No",,"Unknown","0107381","Boston","BA745","Unknown",3.0000,,"No","N/A","No","No","N/A","Bedroom_5","Bedroom"
"Appliance_00000973","SITE_00612","Room_00011893","Audio Equipment","No",,"Unknown","Unknown","Yamaha","RX-V665","Unknown",5.0000,,"Yes","Yes","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000957","SITE_00613","Room_00011909","Audio Equipment","No",,"Unknown","Unknown","Pioneer","Unknown","No",4.0000,,"Yes","No","No","Yes","N/A","Family Room_1","Family Room"
"Appliance_00000950","SITE_00617","Room_00011974","Audio Equipment","No",,"Unknown","Unknown","Soundlogic XT","CBXL6/6353B","Unknown",1.0000,,"No","N/A","No","No","N/A","Bedroom_1","Bedroom"
"Appliance_00000951","SITE_00617","Room_00011971","Audio Equipment","No",,"Unknown","Unknown","Aiwa","AVD30U","No",5.0000,,"No","N/A","No","Yes","N/A","Living Room_1","Living Room"
"Appliance_00000952","SITE_00617","Room_00011976","Audio Equipment","Yes",2012,,"N/A","RCA","RS22162","Unknown",1.0000,,"No","N/A","No","No","N/A","Bedroom_2","Bedroom"
"Appliance_00000941","SITE_00617","Room_00011968","Audio Equipment","No",,"Unknown","Unknown","Art+Sound","AR1002","Unknown",1.0000,,"No","N/A","Unknown","Unknown","N/A","Other_2","Other"
"Appliance_00000959","SITE_00618","Room_00011981","Audio Equipment","No",,"Unknown","Unknown","Zenith","1794","Unknown",3.0000,,"No","N/A","No","No","N/A","Family Room_1","Family Room"
"Appliance_00000968","SITE_00619","Room_00011998","Audio Equipment","No",,"Unknown","Unknown","Onkyo","TX-8011","Unknown",3.0000,,"No","N/A","No","Unknown","N/A","Living Room_1","Living Room"
