"PK_ApplianceID","CK_SiteID","CK_RoomID","Type","Year of Manufacture on Nameplate","Vintage","Vintage_notes","Serial","Make","Model","Energy Star","Primary","Stove Fuel","Oven Fuel","Wifi Enabled","Notes","Room Name","Room Type"
"Appliance_00013438","SITE_01916","Room_00023268","Stove/Oven","Unknown",,"Unknown","Unknown","General Electric","Jbp23dr2ww","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013391","SITE_01917","Room_00023279","Stove/Oven","Unknown",,"Unknown","Unknown","KitchenAid","KEBC208KSS04","No","Yes","Gas","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013435","SITE_01918","Room_00023299","Stove/Oven","Unknown",,"Unknown","Unknown","Kenmore","03. 9368011","Unknown","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013455","SITE_01919","Room_00023308","Stove/Oven","Yes",2014,,"N/A","Samsung","Ne595r0absr","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013387","SITE_01920","Room_00023330","Stove/Oven","Unknown",,"Unknown","Unknown","Jenn Air","Unknown","Unknown","Yes","Gas","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013388","SITE_01920","Room_00023330","Stove/Oven","Unknown",,"Unknown","Unknown","KitchenAid","KEBI100VBL","No","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013386","SITE_01921","Room_00023341","Stove/Oven","Unknown",,"Unknown","Unknown","General Electric","JM7403WH","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013600","SITE_01922","Room_00023361","Stove/Oven","Unknown",,"Unknown","Unknown","General Electric","C s980s t2ss","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013507","SITE_01923","Room_00023373","Stove/Oven","Unknown",,"Unknown","Unknown","Jenn Air","Jds8850aas","No","Yes","Gas","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013658","SITE_01924","Room_00023386","Stove/Oven","Unknown",,"Unknown","Unknown","Frigidaire","FFEF3005MWD","No","Yes","Electric","Electric","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013279","SITE_01925","Room_00023400","Stove/Oven","Unknown",,"Unknown","Unknown","Kenmore","Unknown","No","Yes","Propane","Propane","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013433","SITE_01927","Room_00023426","Stove/Oven","Yes",2011,,"N/A","Kenmore","790.72402014","No","Yes","Gas","Gas","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013877","SITE_01928","Room_00023438","Stove/Oven","Unknown",,"Unknown","Unknown","General Electric","Unknown","Unknown","Yes","Electric","Electric","No","Stove/Oven: No nameplate","Kitchen_1","Kitchen"
"Appliance_00013878","SITE_01929","Room_00023464","Stove/Oven","Unknown",,"Unknown","Unknown","Amana","ARRS6550LL","No","Yes","Electric","Electric","No","N/A","Kitchen_3","Kitchen"
"Appliance_00013879","SITE_01929","Room_00023476","Stove/Oven","Unknown",,"Unknown","Unknown","Jenn Air","Unknown","No","Yes","Electric","No oven","No","N/A","Kitchen_1","Kitchen"
"Appliance_00013880","SITE_01929","Room_00023476","Stove/Oven","Yes",2007,,"N/A","Electrolux","E30EW75ESS3","Unknown","Yes","No Stove","Electric","No","N/A","Kitchen_1","Kitchen"
