"SITEID","Building_Category","State","Site_Case_Weight","Ownership","Vintage","Conditioned_Area","COHORT","county","City","subregion","zip","utility_name","ut_class","utility_id","stratum","pop_ct","unit_multiplicity_ct","ALT_svy_wt"
SITE_00715,Single Family (4 or fewer units),WA,3805.5,Own / buying,1908,2554,SF,Spo,SPOKANE,EW,99202,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00716,Single Family (4 or fewer units),WA,3931.6,Own / buying,2008,2804,SF,Spo,CHENEY,EW,99004,City of Cheney,BPA,3420,EWA.,161299,1,2880.339286
SITE_00717,Manufactured,WA,1628.92,Rent,2003,1488,MH,Spo,SPOKANE,EW,99016,Avista Corp,non-BPA,20169,WA.1,12187,1,1218.7
SITE_00718,Multifamily (5 or more units),WA,1819.67,Rent,1998,,MF,Yak,YAKIMA,EW,98902,PacifiCorp,non-BPA,14354,WA.1,7429,1,1061.285714
SITE_00719,Single Family (4 or fewer units),WA,3931.6,Own / buying,2001,1968,SF,Ben,KENNEWIC,EW,99337,PUD No 1 of Be,BPA,1579,EWA.,92396,1,2639.885714
SITE_00720,Single Family (4 or fewer units),WA,3805.5,Own / buying,1993,2363,SF,Wal,WALLA WA,EW,99362,PacifiCorp,non-BPA,14354,EWA.,92396,1,2639.885714
SITE_00721,Single Family (4 or fewer units),WA,3931.6,Own / buying,2006,1732,SF,Ben,RICHLAND,EW,99354,City of Richla,BPA,15979,EWA.,92396,1,2639.885714
SITE_00722,Single Family (4 or fewer units),WA,3931.6,Own / buying,1979,927,SF,Ben,KENNEWIC,EW,99337,PUD No 1 of Be,BPA,1579,EWA.,92396,1,2639.885714
SITE_00723,Single Family (4 or fewer units),WA,3805.5,Rent,1905,1046,SF,Spo,SPOKANE,EW,99207,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00724,Single Family (4 or fewer units),WA,3805.5,Own / buying,2008,5462,SF,Spo,SPOKANE,EW,99208,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00725,Single Family (4 or fewer units),WA,3805.5,Own / buying,1920,1280,SF,Spo,SPOKANE,EW,99207,Avista Corp,non-BPA,20169,EWA.,161299,1,2880.339286
SITE_00726,Manufactured,WA,1824.63,Own / buying,1980,770,MH,Ben,RICHLAND,EW,99354,City of Richla,BPA,15979,WA.1,7325,1,1046.428571
